trader_id,timestamp,side,trade_size,leverage,pnl
T033,2024-01-01 17:19:00,short,31.32,1.86,-0.32
T035,2024-01-01 16:40:00,short,24.03,2.52,-0.22
T001,2024-01-01 04:17:00,short,21.46,1.64,-1.37
T071,2024-01-01 10:38:00,long,66.68,2.31,-1.79
T002,2024-01-01 07:40:00,long,33.22,3.36,-0.16
T035,2024-01-01 02:25:00,long,29.8,3.06,-0.28
T062,2024-01-01 19:40:00,short,15.33,2.69,-0.65
T056,2024-01-01 01:50:00,long,47.5,1.69,0.12
T071,2024-01-01 18:18:00,long,13.97,2.78,-0.33
T001,2024-01-01 00:30:00,long,12.73,4.3,-0.21
T049,2024-01-01 05:37:00,long,5,1.18,0.16
T017,2024-01-01 16:36:00,short,31.11,1.97,-0.32
T075,2024-01-01 10:42:00,long,43.58,1.21,0.04
T033,2024-01-01 02:20:00,long,10.39,3.86,-0.17
T047,2024-01-01 02:47:00,long,51.92,2.54,-0.96
T072,2024-01-01 04:28:00,long,35.61,3.71,-1.36
T056,2024-01-01 21:12:00,long,56.01,1.89,1.31
T017,2024-01-01 10:19:00,short,27.12,4.43,1.26
T047,2024-01-01 07:11:00,short,13.02,3.8,0.61
T077,2024-01-01 21:39:00,long,68.4,2.74,-3.48
T015,2024-01-01 05:30:00,long,35.81,4.77,-1.08
T068,2024-01-01 01:25:00,long,59.63,4.63,-1.36
T047,2024-01-01 05:16:00,long,40.45,4.85,-1.28
T035,2024-01-01 14:03:00,short,46.2,4.32,0.12
T056,2024-01-01 11:56:00,long,5,1.33,0.07
T057,2024-01-01 17:23:00,long,58.22,5.01,-1.1
T060,2024-01-01 20:21:00,long,33.06,2.44,-1.57
T015,2024-01-01 01:30:00,short,67.23,6.63,1.43
T044,2024-01-01 14:43:00,short,37.75,2.43,-0.83
T072,2024-01-01 23:47:00,long,103.32,2.46,2.11
T069,2024-01-01 13:51:00,short,36.48,2.18,-1.16
T021,2024-01-01 05:47:00,short,29.39,3.63,-0.01
T002,2024-01-01 22:57:00,long,47.45,1.3,-3.94
T062,2024-01-01 06:38:00,long,5.22,4.07,0.04
T060,2024-01-01 14:30:00,short,21.98,1,0.14
T068,2024-01-01 15:51:00,short,42.55,15.47,-0.76
T059,2024-01-01 14:33:00,short,46.37,5.62,-0.49
T057,2024-01-01 09:27:00,short,17.54,4.84,0.3
T069,2024-01-01 08:00:00,short,12.86,2.25,-0.36
T077,2024-01-01 14:09:00,long,12.26,2.53,-0.79
T062,2024-01-01 23:44:00,short,15.59,3.4,0.67
T001,2024-01-01 18:38:00,long,15.48,2.96,-0.85
T072,2024-01-01 05:38:00,short,9.03,7.07,0.05
T015,2024-01-01 12:56:00,long,50.5,2.29,-1.49
T038,2024-01-01 08:36:00,short,16.34,5.17,0.01
T050,2024-01-01 08:26:00,short,27.45,2.14,-0.32
T017,2024-01-01 08:44:00,short,36.03,3.96,1.05
T060,2024-01-01 19:45:00,short,69.56,1.66,-6.34
T017,2024-01-01 06:46:00,short,81.7,3.39,5.21
T049,2024-01-01 11:51:00,long,19.78,3.26,1.11
T038,2024-01-01 12:21:00,short,17.59,5.92,0.32
T001,2024-01-01 16:30:00,short,17.76,2.53,-0.27
T077,2024-01-01 09:31:00,long,31.31,4.63,1.7
T033,2024-01-01 16:38:00,long,140.72,1,-0.11
